Cancer census genes	Chromosome	Start	End
FUBP1	chr1	78413591	78444777
BCL10	chr1	85731460	85742587
RPL5	chr1	93297594	93307481
RBM15	chr1	110881945	110889303
RAP1A	chr1	112162405	112256101
TRIM33	chr1	114935399	115053781
NRAS	chr1	115247085	115259515
ATP1A1	chr1	116915795	116947396
FAM46C	chr1	118148604	118171011
NOTCH2	chr1	120454176	120612317
TPR	chr1	186280786	186344457
CDC73	chr1	193091088	193223942
PTPRC	chr1	198608098	198726605
MDM4	chr1	204485507	204527248
ELK4	chr1	205566695	205602000
SLC45A3	chr1	205626981	205649630
H3F3A	chr1	226250408	226259703
ACVR1	chr2	158592958	158732374
CHN1	chr2	175664042	175869981
PMS1	chr2	190648811	190742355
MLH1	chr3	37034841	37092337
MYD88	chr3	38179969	38184512
CTNNB1	chr3	41240942	41281939
SETD2	chr3	47057898	47205467
NCKIPSD	chr3	48711278	48723334
RHOA	chr3	49396579	49449526
RASSF1	chr3	50367217	50378367
BAP1	chr3	52435020	52444121
PBRM1	chr3	52579368	52713739
CACNA1D	chr3	53529076	53846492
FHIT	chr3	59735036	61237133
TFG	chr3	100428386	100467811
CBLB	chr3	105377109	105587887
PLXNA1	chr3	126707437	126756235
GATA2	chr3	128198265	128212030
RPN1	chr3	128338813	128369719
CNBP	chr3	128886658	128902810
ATR	chr3	142168077	142297668
WWTR1	chr3	149235022	149375812
GMPS	chr3	155588325	155655520
MLF1	chr3	158288953	158324249
MECOM	chr3	168801287	169381563
TBL1XR1	chr3	176738542	176915048
PIK3CA	chr3	178866311	178952497
SOX2	chr3	181429712	181432223
MAP3K13	chr3	185080836	185206882
ETV5	chr3	185764106	185826901
EIF4A2	chr3	186501361	186507685
BCL6	chr3	187439165	187463513
LPP	chr3	187930721	188608460
FGFR3	chr4	1795039	1810599
WHSC1	chr4	1873123	1983934
SLC34A2	chr4	25657435	25680368
RHOH	chr4	40198527	40246281
PHOX2B	chr4	41746099	41750987
AFF1	chr4	87856154	88062206
RAP1GDS1	chr4	99182527	99365012
TET2	chr4	106067842	106200960
IL2	chr4	123372626	123377650
FBXW7	chr4	153242410	153456185
IL7R	chr5	35856977	35879705
LIFR	chr5	38475065	38595507
IRF4	chr6	391739	411443
PRDM1	chr6	106534195	106557814
PDSS2	chr6	107473761	107780779
FOXO3	chr6	108882069	109005971
ROS1	chr6	117609530	117747018
GOPC	chr6	117881433	117923705
RNF217	chr6	125304514	125404661
RSPO3	chr6	127440048	127518184
PTPRK	chr6	128289924	128841870
MYB	chr6	135502453	135540311
TNFAIP3	chr6	138188325	138204451
ECT2L	chr6	139117248	139225207
LATS1	chr6	149979289	150039392
ESR1	chr6	152128454	152424408
ARID1B	chr6	157099064	157531913
EZR	chr6	159186773	159239340
FGFR1OP	chr6	167412816	167454066
RAC1	chr7	6414126	6443598
ETV1	chr7	13930856	14029642
HNRNPA2B1	chr7	26229556	26240413
HOXA9	chr7	27202057	27205149
HOXA11	chr7	27220776	27224835
HOXA13	chr7	27236499	27239725
JAZF1	chr7	27870193	28220437
IKZF1	chr7	50344378	50472798
EGFR	chr7	55086725	55275031
AKAP9	chr7	91570189	91739987
CDK6	chr7	92234235	92465941
MET	chr7	116312459	116438440
NBN	chr8	90945564	90996899
RUNX1T1	chr8	92967195	93107882
COX6C	chr8	100890223	100906242
UBR5	chr8	103264502	103424917
MLLT3	chr9	20344968	20622514
CDKN2A	chr9	21967751	21975132
CDKN2B	chr9	22002902	22009312
GNAQ	chr9	80335191	80646219
OMD	chr9	95176527	95186836
TLX1	chr10	102891061	102897546
ATM	chr11	108093559	108239826
DDX10	chr11	108535816	108811648
POU2AF1	chr11	111222981	111250157
SDHD	chr11	111957548	111966525
ZBTB16	chr11	113931288	114121397
LRIG3	chr12	59265937	59314319
WIF1	chr12	65444404	65515346
HMGA2	chr12	66218240	66360071
MDM2	chr12	69201971	69239320
PTPRB	chr12	70910632	71031220
ZMYM2	chr13	20532810	20665968
LATS2	chr13	21547176	21635722
CDX2	chr13	28536205	28543505
FLT3	chr13	28577411	28674729
BRCA2	chr13	32889617	32973809
LHFP	chr13	39917029	40177356
FOXO1	chr13	41129801	41240734
LCP1	chr13	46700058	46756459
RB1	chr13	48877883	49056026
BIVM-ERCC5	chr13	103459496	103528351
TCF12	chr15	57210833	57580714
MAP2K1	chr15	66679211	66783882
YWHAE	chr17	1247834	1303556
USP6	chr17	5031687	5078324
RABEP1	chr17	5185558	5289132
TP53	chr17	7571720	7590868
PER1	chr17	8043788	8055753
GAS7	chr17	9813926	10101868
MAP2K4	chr17	11924135	12047051
NCOR1	chr17	15933408	16118874
FLCN	chr17	17115527	17140502
SPECC1	chr17	19912649	20218072
SETBP1	chr18	42260863	42648475
MALT1	chr18	56338618	56417370
BCL2	chr18	60790579	60986613
KDSR	chr18	60994971	61034506
SDC4	chr20	43953929	43977064
CLTCL1	chr22	19167712	19279239
SEPT5-GP1BB	chr22	19704743	19711102
BCR	chr22	23522552	23660224
SMARCB1	chr22	24129150	24176705
MN1	chr22	28144265	28197486
CHEK2	chr22	29083731	29137822
EWSR1	chr22	29663998	29696515
NF2	chr22	29999545	30094589
PATZ1	chr22	31721790	31742249
MYH9	chr22	36677323	36784063
PDGFB	chr22	39619685	39640957
MKL1	chr22	40806292	41032690
EP300	chr22	41488614	41576081
