chromosom bin.start bin.end log
chr1 1 50000 NaN
chr1 50001 100000 0.81478879799392
chr1 100001 150000 0.780904073995588
chr1 150001 200000 NaN
chr1 200001 250000 NaN
chr1 250001 300000 NaN
chr1 300001 350000 NaN
chr1 350001 400000 NaN
chr1 400001 450000 NaN
chr1 450001 500000 NaN
chr1 500001 550000 NaN
chr1 550001 600000 0.732886136131975
chr1 600001 650000 -Inf
chr1 650001 700000 -Inf
chr1 700001 750000 0.969921774219124
chr1 750001 800000 -0.0508921530201689
chr1 800001 850000 0.0585457849131683
chr1 850001 900000 -0.0275812593098466
chr1 900001 950000 0.0571381027893704
chr1 950001 1000000 -0.018613497364616
chr1 1000001 1050000 0.121714573714652
chr1 1050001 1100000 -0.103995113574172
chr1 1100001 1150000 0.0181842991666335
chr1 1150001 1200000 -0.0107428842472661
chr1 1200001 1250000 0.0718737076729289
chr1 1250001 1300000 0.0650185941298032
chr1 1300001 1350000 0.174483996384647
chr1 1350001 1400000 0.125863047815311
chr1 1400001 1450000 0.158154132124418
chr1 1450001 1500000 -0.0968305823223223
chr1 1500001 1550000 0.0759812724562012
chr1 1550001 1600000 -0.0414918767235755
chr1 1600001 1650000 -0.205542183293947
chr1 1650001 1700000 0.00599114007441573
chr1 1700001 1750000 0.214829917389294
chr1 1750001 1800000 -0.0419468618599722
chr1 1800001 1850000 0.20876362673157
chr1 1850001 1900000 0.0320572852238149
chr1 1900001 1950000 0.0324602571455135
chr1 1950001 2000000 0.00685469072464137
chr1 2000001 2050000 -0.0764514854861084
chr1 2050001 2100000 0.260160609737271
chr1 2100001 2150000 -0.0386827283277382
chr1 2150001 2200000 0.0302036007984972
chr1 2200001 2250000 0.0500690501554666
chr1 2250001 2300000 0.1602304613046
chr1 2300001 2350000 0.148322530910345
chr1 2350001 2400000 0.190073473452603
chr1 2400001 2450000 0.0150811283976835
chr1 2450001 2500000 0.159653328554251
chr1 2500001 2550000 0.0418484133399852
chr1 2550001 2600000 0.108773673115052
chr1 2600001 2650000 NaN
chr1 2650001 2700000 NaN
chr1 2700001 2750000 0.0345665810064243
chr1 2750001 2800000 0.0229210885716975
chr1 2800001 2850000 -0.0256427624618855
chr1 2850001 2900000 -0.00954551772617524
chr1 2900001 2950000 -0.176599471002382
chr1 2950001 3000000 0.123784695671888
chr1 3000001 3050000 0.0486482261507549
chr1 3050001 3100000 -0.0345327807264469
chr1 3100001 3150000 0.0010142878464598
chr1 3150001 3200000 0.00179869216625282
chr1 3200001 3250000 0.00493223853669185
chr1 3250001 3300000 0.066975387462821
chr1 3300001 3350000 0.0407401363850357
chr1 3350001 3400000 0.0527937622822077
chr1 3400001 3450000 -0.0390642532915108
chr1 3450001 3500000 0.0113966190021166
chr1 3500001 3550000 -0.00814957750854031
chr1 3550001 3600000 0.0967794440518348
chr1 3600001 3650000 -0.0647147999779099
chr1 3650001 3700000 0.138933573612047
chr1 3700001 3750000 0.0595456589629701
chr1 3750001 3800000 0.240008909558981
chr1 3800001 3850000 NaN
chr1 3850001 3900000 NaN
chr1 3900001 3950000 NaN
chr1 3950001 4000000 NaN
chr1 4000001 4050000 0.00943013948540142
chr1 4050001 4100000 0.220051820757191
chr1 4100001 4150000 -0.107922730908511
chr1 4150001 4200000 0.0931373934513085
chr1 4200001 4250000 -0.201319689443351
chr1 4250001 4300000 0.117937017490059
chr1 4300001 4350000 -0.128017683154125
chr1 4350001 4400000 0.110046470690335
chr1 4400001 4450000 0.185410492618436
chr1 4450001 4500000 0.0366771150862181
chr1 4500001 4550000 0.121795203264915
chr1 4550001 4600000 0.00256949178211398
chr1 4600001 4650000 0.0575268135259527
chr1 4650001 4700000 -0.0199024518013516
chr1 4700001 4750000 -0.0323126295620212
chr1 4750001 4800000 0.111336326448914
chr1 4800001 4850000 0.00232803009931838
chr1 4850001 4900000 0.0621194177817124
chr1 4900001 4950000 -0.174670430117032
chr1 4950001 5000000 -0.120190219406706
chr1 5000001 5050000 -0.0209141022446915
chr1 5050001 5100000 0.379896960630395
chr1 5100001 5150000 -0.0670674706603775
chr1 5150001 5200000 0.323745172332226
chr1 5200001 5250000 0.188933343824549
chr1 5250001 5300000 0.149912948790922
chr1 5300001 5350000 0.145185685514404
chr1 5350001 5400000 -0.0265489946229657
chr1 5400001 5450000 -0.0690015244661045
chr1 5450001 5500000 -0.0662540984425753
chr1 5500001 5550000 0.17442430103149
chr1 5550001 5600000 -0.0558153423761978
chr1 5600001 5650000 -0.0282567978749672
chr1 5650001 5700000 0.0863499407007891
chr1 5700001 5750000 -0.122235595864943
chr1 5750001 5800000 0.158729306541162
chr1 5800001 5850000 0.085539438136676
chr1 5850001 5900000 -0.0911825560042847
chr1 5900001 5950000 0.0076200563175269
chr1 5950001 6000000 0.229553201973657
chr1 6000001 6050000 0.091469536258592
chr1 6050001 6100000 0.0242825980955585
chr1 6100001 6150000 -0.114516393405951
chr1 6150001 6200000 -0.00417084800095685
chr1 6200001 6250000 -0.070118429278784
chr1 6250001 6300000 0.0641429993406384
chr1 6300001 6350000 -0.00972583215885075
chr1 6350001 6400000 0.0865590964795702
chr1 6400001 6450000 0.0133013342777386
chr1 6450001 6500000 -0.209991800027196
chr1 6500001 6550000 0.0202994440971058
chr1 6550001 6600000 0.153785937238198
chr1 6600001 6650000 0.124400399016548
chr1 6650001 6700000 -0.0093903856109311
chr1 6700001 6750000 0.322800227320777
chr1 6750001 6800000 -0.0917470947968518
chr1 6800001 6850000 0.0108643756115337
chr1 6850001 6900000 -0.0233294091830933
chr1 6900001 6950000 -0.0106409111031289
chr1 6950001 7000000 -0.00497150393670034
chr1 7000001 7050000 -0.0273445668614597
chr1 7050001 7100000 -0.0414333066840463
chr1 7100001 7150000 -0.105602601745506
chr1 7150001 7200000 -0.0432400422254188
chr1 7200001 7250000 0.0677287120635264
chr1 7250001 7300000 0.154349490284257
chr1 7300001 7350000 0.286913792073879
chr1 7350001 7400000 0.101952122404788
chr1 7400001 7450000 0.124266158433618
chr1 7450001 7500000 0.024732365674269
chr1 7500001 7550000 0.0796585143438966
chr1 7550001 7600000 -0.0738070827550246
chr1 7600001 7650000 -0.0387900779310586
chr1 7650001 7700000 0.0308809814868573
chr1 7700001 7750000 -0.0333841469782332
chr1 7750001 7800000 -0.0419739975692069
chr1 7800001 7850000 0.197916848265493
chr1 7850001 7900000 0.150982916278434
chr1 7900001 7950000 -0.07155109301467
chr1 7950001 8000000 0.149576399646406
chr1 8000001 8050000 0.0310297859476053
chr1 8050001 8100000 0.188462206886626
chr1 8100001 8150000 0.208493337509501
chr1 8150001 8200000 0.179033541298515
chr1 8200001 8250000 0.0912771220834909
chr1 8250001 8300000 0.204956709271949
chr1 8300001 8350000 -0.0809065825293384
chr1 8350001 8400000 -0.0771598181228398
chr1 8400001 8450000 0.117773823267503
chr1 8450001 8500000 0.125605777508891
chr1 8500001 8550000 0.223644810396173
chr1 8550001 8600000 0.183960081883291
chr1 8600001 8650000 0.250365456734429
chr1 8650001 8700000 0.0804036327756141
chr1 8700001 8750000 -0.0074329907913374
chr1 8750001 8800000 0.17704976267247
chr1 8800001 8850000 0.136989599916883
chr1 8850001 8900000 0.0170823054639609
chr1 8900001 8950000 0.134059993303282
chr1 8950001 9000000 0.032574885734478
chr1 9000001 9050000 -0.0753384225392119
chr1 9050001 9100000 0.113257288898458
