"SAMPLE","CHR","BIN.START","BIN.END","BIN.GC.CONTENT","BIN.N.COUNT","Marieke_WGS.2.COUNT","Marieke_WGS.2.GC","Marieke_WGS.2.GR10M","Marieke_WGS.2.GC.GR10M","Marieke_WGS.2.AUTO.GR10M","Marieke_WGS.2.AUTO.X.GR10M","Marieke_WGS.2.AUTO.Y.GR10M","Marieke_WGS.2.GC.AUTO.GR10M","Marieke_WGS.2.GC.AUTO.X.GR10M","Marieke_WGS.2.GC.AUTO.Y.GR10M"
"Marieke_WGS-2","chr1",1,50000,19370,10000,2,0,1.08411196513236,0,1.11547304451022,1.08648555387078,1.1129712570721,0,0,0
"Marieke_WGS-2","chr1",50001,100000,18837,0,9,9.44,4.87850384309561,4.86093019794245,5.01962870029599,4.8891849924185,5.00837065682444,5.00063997597116,4.8712137441721,4.98980331841848
"Marieke_WGS-2","chr1",100001,150000,21498,0,4,4.34,2.16822393026471,2.23479206134219,2.23094608902044,2.17297110774156,2.2259425141442,2.2990230398003,2.23951987814692,2.2940409324085
"Marieke_WGS-2","chr1",150001,200000,12264,22583,0,0,0,0,0,0,0,0,0,0
"Marieke_WGS-2","chr1",200001,250000,9277,27417,1,0,0.542055982566179,0,0.55773652225511,0.543242776935389,0.556485628536049,0,0,0
"Marieke_WGS-2","chr1",250001,300000,6499,32281,0,0,0,0,0,0,0,0,0,0
"Marieke_WGS-2","chr1",300001,350000,14143,17719,0,0,0,0,0,0,0,0,0,0
"Marieke_WGS-2","chr1",350001,400000,18938,0,2,2.1,1.08411196513236,1.08135099742364,1.11547304451022,1.08648555387078,1.1129712570721,1.11243050312918,1.08363865071625,1.11001980600411
"Marieke_WGS-2","chr1",400001,450000,22795,0,0,0,0,0,0,0,0,0,0,0
"Marieke_WGS-2","chr1",450001,500000,9586,28632,0,0,0,0,0,0,0,0,0,0
"Marieke_WGS-2","chr1",500001,550000,14607,21368,2,0,1.08411196513236,0,1.11547304451022,1.08648555387078,1.1129712570721,0,0,0
"Marieke_WGS-2","chr1",550001,600000,20570,0,3,3.22,1.62616794769854,1.65807152938291,1.67320956676533,1.62972833080617,1.66945688560815,1.70572677146474,1.66157926443158,1.7020303692063
"Marieke_WGS-2","chr1",600001,650000,18923,0,3,3.15,1.62616794769854,1.62202649613546,1.67320956676533,1.62972833080617,1.66945688560815,1.66864575469377,1.62545797607438,1.66502970900617
"Marieke_WGS-2","chr1",650001,700000,22996,0,0,0,0,0,0,0,0,0,0,0
"Marieke_WGS-2","chr1",700001,750000,20971,0,38,40.99,20.5981273375148,21.1069416116166,21.1939878456942,20.6432255235448,21.1464538843699,21.7135839634595,21.151594425171,21.6665294514802
"Marieke_WGS-2","chr1",750001,800000,23146,0,107,117.76,57.9999901345811,60.6380445031465,59.6778078812967,58.1269771320867,59.5439622533572,62.3808647849962,60.7663273849265,62.2456820738305
"Marieke_WGS-2","chr1",800001,850000,24671,0,254,280.09,137.682219571809,144.226476603994,141.665076652798,137.983665341589,141.347349648156,148.371742676882,144.531595085293,148.050213077948
"Marieke_WGS-2","chr1",850001,900000,31974,0,343,362.68,185.925202020199,186.754466545526,191.303627133503,186.332272488839,190.874570587865,192.122045178519,187.149555162748,191.70570630551
"Marieke_WGS-2","chr1",900001,950000,29767,0,317,342.27,171.831746473479,176.244764708661,176.80247755487,172.207960288518,176.405944245927,181.310280145726,176.617619514596,180.91737095287
"Marieke_WGS-2","chr1",950001,1000000,32367,0,286,301.08,155.028011013927,155.034837287766,159.512645364961,155.367434203521,159.15488976131,159.490750420063,155.362821408404,159.145125329389
"Marieke_WGS-2","chr1",1000001,1050000,29273,0,291,315.38,157.738290926758,162.398322651175,162.301327976237,158.083648088198,161.93731790399,167.065872417562,162.741884601377,166.703831627417
"Marieke_WGS-2","chr1",1050001,1100000,31075,0,340,362.87,184.299034072501,186.852303064341,189.630417566737,184.702544158032,189.205113702257,192.222693652612,187.247598659717,191.80613666891
"Marieke_WGS-2","chr1",1100001,1150000,30429,0,325,348.96,176.168194334008,179.689640029025,181.264369732911,176.553902504002,180.857829274216,184.854165891409,180.069782644735,184.453576906283
"Marieke_WGS-2","chr1",1150001,1200000,30943,0,340,363.34,184.299034072501,187.094319716145,189.630417566737,184.702544158032,189.205113702257,192.471666193788,187.490127310115,192.054569673111
"Marieke_WGS-2","chr1",1200001,1250000,31505,0,332,352.81,179.962586211971,181.672116857635,185.168525388696,180.356601942549,184.753228673968,186.893621813812,182.056453504381,186.488613217291
"Marieke_WGS-2","chr1",1250001,1300000,32017,0,305,322.35,165.327074682684,165.987378104529,170.109639287808,165.689046965294,169.728116703495,170.758082230329,166.338532884944,170.388040221631
"Marieke_WGS-2","chr1",1300001,1350000,26681,0,311,341.74,168.579410578082,175.971852314074,173.456058421339,168.948503626906,173.067030474711,181.029523875888,176.344129759891,180.637223097069
"Marieke_WGS-2","chr1",1350001,1400000,29510,0,293,316.99,158.82240289189,163.227358415866,163.416801020747,159.170133642069,163.050289161062,167.918735803294,163.572674233593,167.554846812021
"Marieke_WGS-2","chr1",1400001,1450000,28368,0,194,211.51,105.158860617839,108.912642602416,108.200885317491,105.389098725466,107.958211935993,112.042940817549,109.143052863331,111.800137699014
"Marieke_WGS-2","chr1",1450001,1500000,29365,0,258,279.43,139.850443502074,143.886623433375,143.896022741818,140.15663644933,143.573292162301,148.022121661612,144.191022937925,147.701349710347
"Marieke_WGS-2","chr1",1500001,1550000,26950,0,266,292.01,144.186891362604,150.364430836989,148.357914919859,144.502578664814,148.025177190589,154.686110104167,150.68253447412,154.350896929172
"Marieke_WGS-2","chr1",1550001,1600000,29444,0,170,184.01,92.1495170362504,94.7520938266304,94.8152087833686,92.3512720790162,94.6025568511283,97.4753985146667,94.9525467229987,97.2641640489603
"Marieke_WGS-2","chr1",1600001,1650000,27594,0,123,134.66,66.67288585564,69.3403453871749,68.6015922373785,66.8188615630529,68.447732309934,71.333281691131,69.4870384311668,71.1786986078636
"Marieke_WGS-2","chr1",1650001,1700000,26914,0,155,170.18,84.0186772977577,87.6306251150261,86.449160949542,84.2026304249853,86.2552724230876,90.1492490583445,87.8160121804246,89.9538907551332
"Marieke_WGS-2","chr1",1700001,1750000,24527,0,307,338.54,166.411186647817,174.324079365618,171.225112332319,166.775532519165,170.841087960567,179.334391680644,174.692870863562,178.945764345063
"Marieke_WGS-2","chr1",1750001,1800000,22663,0,291,319.47,157.738290926758,164.504382450919,162.301327976237,158.083648088198,161.93731790399,169.232463254609,164.852399878248,168.865727344825
"Marieke_WGS-2","chr1",1800001,1850000,26872,0,296,325.04,160.448570839589,167.372537239324,165.090010587512,160.799861972875,164.71974604667,172.183052731956,167.726622394672,171.809922735036
"Marieke_WGS-2","chr1",1850001,1900000,28475,0,348,379.17,188.63548193303,195.245646520534,194.092309744778,189.048486373515,193.656998730545,200.857273272138,195.658698662896,200.422004686942
"Marieke_WGS-2","chr1",1900001,1950000,26938,0,304,333.74,164.785018700118,171.852419942936,169.551902765553,165.145804188358,169.171631074959,176.791693387777,172.215982519067,176.408576217053
"Marieke_WGS-2","chr1",1950001,2000000,29372,0,343,371.47,185.925202020199,191.280692863314,191.303627133503,186.332272488839,190.874570587865,196.778361427331,191.685356943603,196.351932064927
"Marieke_WGS-2","chr1",2000001,2050000,28762,0,300,326.28,162.616794769854,168.01104925685,167.320956676533,162.972833080617,166.945688560815,172.839916457613,168.366485216999,172.465363001439
"Marieke_WGS-2","chr1",2050001,2100000,27442,0,332,363.72,179.962586211971,187.289992753774,185.168525388696,180.356601942549,184.753228673968,192.672963141974,187.686214304055,192.255430399912
"Marieke_WGS-2","chr1",2100001,2150000,30221,0,334,359.28,181.046698177104,185.003707787793,186.283998433207,181.44308749642,185.86619993104,190.320967221072,185.395092585397,189.908531381503
"Marieke_WGS-2","chr1",2150001,2200000,27784,0,293,320.47,158.82240289189,165.019311497311,163.416801020747,159.170133642069,163.050289161062,169.762192065623,165.368418283351,169.394308204827
"Marieke_WGS-2","chr1",2200001,2250000,30580,0,335,359.21,181.58875415967,184.967662754545,186.841734955462,181.986330273355,186.422685559576,190.283886204301,185.35897129704,189.871530721303
"Marieke_WGS-2","chr1",2250001,2300000,29037,0,342,371.28,185.383146037633,191.182856344499,190.745890611247,185.789029711903,190.318084959329,196.677712953239,191.587313446633,196.251501701527
"Marieke_WGS-2","chr1",2300001,2350000,28701,0,334,363.4,181.046698177104,187.125215458929,186.283998433207,181.44308749642,185.86619993104,192.503449922449,187.521088414422,192.086284524711
"Marieke_WGS-2","chr1",2350001,2400000,31248,0,313,333.49,169.663522543214,171.723687681338,174.571531465849,170.034989180777,174.180001731783,176.659261185024,172.086977917792,176.276431002053
"Marieke_WGS-2","chr1",2400001,2450000,32212,0,362,381.76,196.224265688957,196.57931275069,201.90062105635,196.653885250611,201.44779753005,202.229270892664,196.995186332112,201.791029114347
"Marieke_WGS-2","chr1",2450001,2500000,31267,0,307,327.03,166.411186647817,168.397246041644,171.225112332319,166.775532519165,170.841087960567,173.237213065874,168.753499020826,172.86179864644
"Marieke_WGS-2","chr1",2500001,2550000,28105,0,315,343.95,170.747634508346,177.1098455066,175.687004510359,171.121474734648,175.292972988855,182.200224548229,177.484530435169,181.805386797673
"Marieke_WGS-2","chr1",2550001,2600000,28779,0,253,275.13,137.140163589243,141.672428533888,141.107340130543,137.440422564653,140.79086401962,145.744287774253,141.972143795982,145.428452012339
"Marieke_WGS-2","chr1",2600001,2650000,21281,15780,82,0,44.4485905704267,0,45.734394824919,44.5459077087019,45.631821539956,0,0,0
"Marieke_WGS-2","chr1",2650001,2700000,8502,34220,65,0,35.2336388668016,0,36.2528739465821,35.3107805008003,36.1715658548432,0,0,0
"Marieke_WGS-2","chr1",2700001,2750000,28914,0,365,396.58,197.850433636655,204.210561218222,203.573830623115,198.283613581417,203.117254415658,210.07985187189,204.642579095738,209.624597459576
"Marieke_WGS-2","chr1",2750001,2800000,28301,0,337,367.56,182.672866124802,189.26732029192,187.957207999972,183.072815827226,187.535656816648,194.707121776267,189.66772497965,194.28518090232
"Marieke_WGS-2","chr1",2800001,2850000,29899,0,361,389.37,195.68220970639,200.497922793734,201.342884534095,196.110642473676,200.891311901514,206.26050714448,200.922086394946,205.813529458962
"Marieke_WGS-2","chr1",2850001,2900000,27493,0,326,357.07,176.710250316574,183.865714595266,181.822106255166,177.097145280937,181.414314902752,189.150266548731,184.25469191012,188.740367680899
"Marieke_WGS-2","chr1",2900001,2950000,27107,0,357,391.67,193.513985776126,201.682259600437,199.111938445074,193.937671365934,198.665369387369,207.478883409812,202.108928726683,207.029265436967
"Marieke_WGS-2","chr1",2950001,3000000,27498,0,366,400.87,198.392489619221,206.419606827245,204.13156714537,198.826856358353,203.673740044194,212.35238847114,206.85629805363,211.892209348985
"Marieke_WGS-2","chr1",3000001,3050000,29577,0,365,394.69,197.850433636655,203.237345320541,203.573830623115,198.283613581417,203.117254415658,209.078664419074,203.667304310094,208.625579634173
"Marieke_WGS-2","chr1",3050001,3100000,28703,0,331,360.13,179.420530229405,185.441397477226,184.610788866441,179.813359165614,184.196743045432,190.771236710434,185.833708229735,190.357825112505
"Marieke_WGS-2","chr1",3100001,3150000,28455,0,371,404.28,201.102769532052,208.175514875442,206.920249756646,201.543070243029,206.456168186874,214.158763716697,208.615920815031,213.694670081591
"Marieke_WGS-2","chr1",3150001,3200000,28350,0,359,391.45,194.598097741258,201.56897521023,200.227411489584,195.024156919805,199.778340644442,207.362343071389,201.99540467756,206.912977647766
"Marieke_WGS-2","chr1",3200001,3250000,28363,0,322,351.08,174.54202638631,180.781289607377,179.591160166145,174.924174173195,179.188372388608,185.977190970758,181.163741663553,185.574168329487
"Marieke_WGS-2","chr1",3250001,3300000,28606,0,374,407.17,202.728937479751,209.663659819516,208.593459323411,203.172798573836,208.125625072482,215.689679980527,210.107214005779,215.222268766997
"Marieke_WGS-2","chr1",3300001,3350000,29100,0,369,400.41,200.01865756692,206.182739465904,205.804776712135,200.456584689159,205.343196929802,212.108713218073,206.618929587283,211.649062153384
"Marieke_WGS-2","chr1",3350001,3400000,29208,0,333,361.07,180.504642194537,185.925430780835,185.726261910951,180.899844719485,185.309714302504,191.269181792787,186.318765530532,190.854691120907
"Marieke_WGS-2","chr1",3400001,3450000,30883,0,360,384.93,195.140153723824,198.211637827753,200.785148011839,195.56739969674,200.334826272978,203.908511223578,198.630964676289,203.466630440554
"Marieke_WGS-2","chr1",3450001,3500000,31041,0,351,374.74,190.261649880729,192.964510845016,195.765519311543,190.678214704322,195.326455616153,198.510574639347,193.372737128289,198.080391477134
"Marieke_WGS-2","chr1",3500001,3550000,29481,0,324,350.61,175.626138351442,180.539272955572,180.706633210655,176.010659727066,180.30134364568,185.728218429581,180.921213013155,185.325735325286
"Marieke_WGS-2","chr1",3550001,3600000,27583,0,355,388.67,192.429873810993,200.13747246126,197.996465400564,192.851185812063,197.552398130297,205.88969697677,200.560873511374,205.443522856961
"Marieke_WGS-2","chr1",3600001,3650000,31084,0,314,335.1,170.20557852578,172.552723446029,175.129267988104,170.578231957712,174.736487360319,177.512124570756,172.917767550007,177.127446186656
"Marieke_WGS-2","chr1",3650001,3700000,27585,0,322,352.53,174.54202638631,181.527936724645,179.591160166145,174.924174173195,179.188372388608,186.745297746728,181.911968350952,186.34061057649
"Marieke_WGS-2","chr1",3700001,3750000,25498,0,316,348.23,171.289690490912,179.313741825159,176.244741032615,171.664717511583,175.849458617391,184.467463859368,179.69308920901,184.067712878482
"Marieke_WGS-2","chr1",3750001,3800000,24604,0,294,324.21,159.364458874457,166.945146130818,163.974537543002,159.713376419004,163.606774789598,171.743377818815,167.298327118436,171.371200621235
"Marieke_WGS-2","chr1",3800001,3850000,23790,4732,282,0,152.859787083662,0,157.281699275941,153.19446309578,156.928947247166,0,0,0
"Marieke_WGS-2","chr1",3850001,3900000,0,50000,0,0,0,0,0,0,0,0,0,0
"Marieke_WGS-2","chr1",3900001,3950000,0,50000,0,0,0,0,0,0,0,0,0,0
"Marieke_WGS-2","chr1",3950001,4000000,2223,45268,18,0,9.75700768619122,0,10.039257400592,9.77836998483701,10.0167413136489,0,0,0
"Marieke_WGS-2","chr1",4000001,4050000,25525,0,283,311.85,153.401843066229,160.58062311741,157.839435798196,153.737705872715,157.485432875702,165.195929714683,160.920339631363,164.837941191611
"Marieke_WGS-2","chr1",4050001,4100000,24139,0,316,348.41,171.289690490912,179.40642905351,176.244741032615,171.664717511583,175.849458617391,184.562815045351,179.785972521928,184.162857433282
"Marieke_WGS-2","chr1",4100001,4150000,25640,0,281,309.59,152.317731101096,159.416883472564,156.723962753686,152.651220318844,156.37246161863,163.998742601791,159.75413803583,163.643348448006
"Marieke_WGS-2","chr1",4150001,4200000,24860,0,349,384.83,189.177537915596,198.160144923114,194.650046267033,189.591729150451,194.213484359081,203.855538342477,198.579362835778,203.413772354553
"Marieke_WGS-2","chr1",4200001,4250000,25144,0,291,320.81,157.738290926758,165.194387373085,162.301327976237,158.083648088198,161.93731790399,169.942299861367,165.543864541086,169.574025697228
"Marieke_WGS-2","chr1",4250001,4300000,22013,0,345,376.76,187.009313985332,194.004667518729,192.419100178013,187.418758042709,191.987541844937,199.580626837595,194.415094306597,199.148124814338
"Marieke_WGS-2","chr1",4300001,4350000,21273,0,347,375.74,188.093425950464,193.479439891409,193.534573222523,188.50524359658,193.100513102009,199.040303450361,193.888755533392,198.608972337136
"Marieke_WGS-2","chr1",4350001,4400000,25007,0,375,413.47,203.270993462317,212.907712811787,209.151195845666,203.716041350771,208.682110701018,219.026971489915,213.358129957928,218.55232818501
"Marieke_WGS-2","chr1",4400001,4450000,24503,0,398,438.89,215.738281061339,225.997209171077,221.979135857534,216.210625220285,221.481280157347,232.492677865888,226.475317815645,231.988853646259
"Marieke_WGS-2","chr1",4450001,4500000,23183,0,376,413.87,203.813049444883,213.113684430344,209.708932367921,204.259284127706,209.238596329554,219.23886301432,213.564537319969,218.76376052901
"Marieke_WGS-2","chr1",4500001,4550000,24148,0,377,415.67,204.355105427449,214.04055671385,210.266668890176,204.802526904642,209.79508195809,220.192374874145,214.493370449154,219.715206077014
"Marieke_WGS-2","chr1",4550001,4600000,23696,0,366,403.35,198.392489619221,207.696630862298,204.13156714537,198.826856358353,203.673740044194,213.666115922454,208.136023698286,213.20308988179
"Marieke_WGS-2","chr1",4600001,4650000,22126,0,347,379.35,188.093425950464,195.338333748885,193.534573222523,188.50524359658,193.100513102009,200.952624458121,195.751581975814,200.517149241743
"Marieke_WGS-2","chr1",4650001,4700000,25840,0,338,372.25,183.214922107368,191.6823375195,188.514944522227,183.616058604162,188.092142445184,197.191549899922,192.087851299583,196.764225135729
"Marieke_WGS-2","chr1",4700001,4750000,25620,0,352,387.82,190.803705863295,199.699782771827,196.323255833799,191.221457481257,195.882941244689,205.439427487408,200.122257867036,204.994229125959
"Marieke_WGS-2","chr1",4750001,4800000,27202,0,352,386.04,190.803705863295,198.783209069248,196.323255833799,191.221457481257,195.882941244689,204.496510203804,199.203745105953,204.053355195156
"Marieke_WGS-2","chr1",4800001,4850000,25494,0,388,427.57,210.317721235677,220.168212365917,216.401770634982,210.778197450931,215.916423871987,226.496147725211,220.63398946988,226.005318311037
"Marieke_WGS-2","chr1",4850001,4900000,22097,0,350,382.53,189.719593898163,196.975808116412,195.207782789288,190.134971927386,194.769969987617,202.637162077145,197.392520504042,202.198036376549
"Marieke_WGS-2","chr1",4900001,4950000,21585,0,298,323.94,161.532682804721,166.806115288292,166.205483632023,161.886347526746,165.832717303743,171.600351039841,167.159002149058,171.228483789034
"Marieke_WGS-2","chr1",4950001,5000000,23106,0,361,397.24,195.68220970639,204.550414388841,201.342884534095,196.110642473676,200.891311901514,210.429472887159,204.983151243106,209.973460827178
"Marieke_WGS-2","chr1",5000001,5050000,23495,0,372,409.83,201.644825514618,211.033371082919,207.477986278901,202.086313019965,207.01265381541,217.098758617824,211.479822963353,216.628293854602
"Marieke_WGS-2","chr1",5050001,5100000,21028,0,339,365.93,183.756978089935,188.427985946301,189.072681044482,184.159301381097,188.648628073721,193.843663814314,188.826614979332,193.423594100516
"Marieke_WGS-2","chr1",5100001,5150000,19915,0,318,340.13,172.373802456045,175.142816549382,177.360214077125,172.751203065454,176.962429874464,180.176660490156,175.513340127675,179.786207912466
"Marieke_WGS-2","chr1",5150001,5200000,21124,0,358,386.91,194.056041758692,199.23119733961,199.669674967329,194.480914142869,199.221855015905,204.957374269386,199.652681118393,204.513220543358
"Marieke_WGS-2","chr1",5200001,5250000,22208,0,352,385.1,190.803705863295,198.29917576564,196.323255833799,191.221457481257,195.882941244689,203.998565121451,198.718687805156,203.556489186754
"Marieke_WGS-2","chr1",5250001,5300000,20901,0,338,364.26,183.214922107368,187.568054438826,188.514944522227,183.616058604162,188.092142445184,192.959016699921,187.96486424281,192.540864064313
"Marieke_WGS-2","chr1",5300001,5350000,24216,0,394,434.43,213.570057131074,223.700625624167,219.748189768513,214.037654112543,219.255337643203,230.130087368766,224.173875728886,229.631383010651
"Marieke_WGS-2","chr1",5350001,5400000,22780,0,357,392.21,193.513985776126,201.960321285488,199.111938445074,193.937671365934,198.665369387369,207.764936967759,202.387578665438,207.314699101368
"Marieke_WGS-2","chr1",5400001,5450000,23558,0,370,407.67,200.560713549486,209.921124342712,206.36251323439,200.999827466094,205.899682558338,215.954544386034,210.36522320833,215.486559196998
"Marieke_WGS-2","chr1",5450001,5500000,24498,0,403,444.4,218.44856097417,228.834468216698,224.767818468809,218.926839104962,224.263708300028,235.411483614575,229.318579227763,234.90133418487
"Marieke_WGS-2","chr1",5500001,5550000,24685,0,379,417.93,205.439217392582,215.204296358696,211.382141934687,205.889012458513,210.908053215163,221.389561987037,215.659572044687,220.909798820618
