chromosom bin.start bin.end log.overAllSamples.mean
chr1 1 50000 0.0718410007589535
chr1 50001 100000 0.233407249898597
chr1 100001 150000 0.215314298057506
chr1 150001 200000 -0.118610082981082
chr1 200001 250000 0.440694958509461
chr1 250001 300000 0
chr1 300001 350000 0
chr1 350001 400000 -0.057152485694015
chr1 400001 450000 0
chr1 500001 550000 0.846059313106972
chr1 550001 600000 0.173998521396729
chr1 600001 650000 -0.182404879625559
chr1 650001 700000 -0.111901670282694
chr1 700001 750000 -0.0622627895097864
chr1 750001 800000 -0.0236253522890839
chr1 800001 850000 -0.0352041995278153
chr1 850001 900000 -0.0888621804089381
chr1 900001 950000 -0.0350075952329684
chr1 950001 1000000 -0.0222654895807167
chr1 1000001 1050000 -0.067789906104413
chr1 1050001 1100000 -0.0324505340637843
chr1 1100001 1150000 -0.105616710535092
chr1 1150001 1200000 -0.0816379212168459
chr1 1200001 1250000 -0.0813961007037704
chr1 1250001 1300000 -0.0596172940930423
chr1 1300001 1350000 -0.0265138766219593
chr1 1350001 1400000 -0.047830249860942
chr1 1400001 1450000 -0.0673945275504232
chr1 1450001 1500000 -0.0499244847851123
chr1 1500001 1550000 -0.110062339159103
chr1 1550001 1600000 -0.0697025876531799
chr1 1600001 1650000 -0.131666845851685
chr1 1650001 1700000 -0.106236206688214
chr1 1700001 1750000 -0.0435855847644862
chr1 1750001 1800000 -0.0615339262188606
chr1 1800001 1850000 -0.0612573220742981
chr1 1850001 1900000 -0.102689524461981
chr1 1900001 1950000 -0.0470597770597201
chr1 1950001 2000000 -0.135451248596288
chr1 2000001 2050000 -0.0591472967289561
chr1 2050001 2100000 -0.00919013967079361
chr1 2100001 2150000 -0.0369163997140249
chr1 2150001 2200000 0.0254357848280236
chr1 2200001 2250000 -0.078490959811443
chr1 2250001 2300000 -0.0838284803813671
chr1 2300001 2350000 -0.057236616962338
chr1 2350001 2400000 -0.0138922889054612
chr1 2400001 2450000 -0.00207495540841291
chr1 2450001 2500000 -0.0108469734728237
chr1 2500001 2550000 -0.0536985080736186
chr1 2550001 2600000 -0.120242906799907
chr1 2600001 2650000 0.20973945883052
chr1 2650001 2700000 -0.11856989121151
chr1 2700001 2750000 -0.141887976463042
chr1 2750001 2800000 -0.00784585059705834
chr1 2800001 2850000 -0.063422094870871
chr1 2850001 2900000 -0.0619023643629669
chr1 2900001 2950000 -0.0828722131180423
chr1 2950001 3000000 -0.0811466087539722
chr1 3000001 3050000 -0.0212624368007806
chr1 3050001 3100000 0.00987806724581446
chr1 3100001 3150000 -0.0387875518319407
chr1 3150001 3200000 -0.0300387448865569
chr1 3200001 3250000 -0.00512235228861143
chr1 3250001 3300000 -0.0171405554814287
chr1 3300001 3350000 -0.00905195411761805
chr1 3350001 3400000 -0.0491536188137272
chr1 3400001 3450000 -0.0601071470803588
chr1 3450001 3500000 -0.0416132155541523
chr1 3500001 3550000 -0.0114717486006447
chr1 3550001 3600000 -0.0188284444990249
chr1 3600001 3650000 -0.0319729912389774
chr1 3650001 3700000 -0.01462861364516
chr1 3700001 3750000 -0.028904200278107
chr1 3750001 3800000 -0.0509427038959605
chr1 3800001 3850000 -0.0850721912784186
chr1 3950001 4000000 -0.232764022724963
chr1 4000001 4050000 -0.0677816173970131
chr1 4050001 4100000 -0.0844846474075222
chr1 4100001 4150000 -0.0460989988873335
chr1 4150001 4200000 -0.0548248189185498
chr1 4200001 4250000 -0.0801109460438272
chr1 4250001 4300000 -0.0662402369660789
chr1 4300001 4350000 -0.0714985036179823
chr1 4350001 4400000 -0.0686447914140247
chr1 4400001 4450000 -0.0500748840927023
chr1 4450001 4500000 -0.0818233329352497
chr1 4500001 4550000 -0.0514614233594819
chr1 4550001 4600000 -0.0888291792467814
chr1 4600001 4650000 -0.0441769143619839
chr1 4650001 4700000 -0.0373715800415698
chr1 4700001 4750000 -0.0109084091278067
chr1 4750001 4800000 -0.055830975198536
chr1 4800001 4850000 -0.00172491380904525
chr1 4850001 4900000 -0.0244880362660857
chr1 4900001 4950000 -0.0839374071194537
chr1 4950001 5000000 -0.0855724358527704
chr1 5000001 5050000 -0.0763987635107791
chr1 5050001 5100000 -0.0412449004317435
chr1 5100001 5150000 -0.095657195677613
chr1 5150001 5200000 -0.059842231809203
chr1 5200001 5250000 -0.0608172196567902
chr1 5250001 5300000 -0.0687535783656746
chr1 5300001 5350000 -0.0997084476886379
chr1 5350001 5400000 -0.0813743369112462
chr1 5400001 5450000 -0.0828842629390534
chr1 5450001 5500000 -0.0684812473332941
chr1 5500001 5550000 -0.0311159680507128
chr1 5550001 5600000 -0.0597936654245439
chr1 5600001 5650000 -0.0420906225380089
chr1 5650001 5700000 -0.124359154399212
chr1 5700001 5750000 -0.120419380064375
chr1 5750001 5800000 -0.0383738813454655
chr1 5800001 5850000 -0.0653966472941862
chr1 5850001 5900000 -0.0642998696585056
chr1 5900001 5950000 -0.0617682431292797
chr1 5950001 6000000 -0.072418300469158
chr1 6000001 6050000 -0.092657813902934
chr1 6050001 6100000 -0.108167127507717
chr1 6100001 6150000 -0.0937507194560504
chr1 6150001 6200000 -0.0946594326122143
chr1 6200001 6250000 -0.122230366042911
chr1 6250001 6300000 -0.0216762540002296
chr1 6300001 6350000 -0.0584439863933234
chr1 6350001 6400000 -0.0394578677187408
chr1 6400001 6450000 -0.0778278798126687
chr1 6450001 6500000 -0.0525049154532757
chr1 6500001 6550000 -0.0652522911802996
chr1 6550001 6600000 -0.0469867168772023
chr1 6600001 6650000 -0.00417429613856934
chr1 6650001 6700000 -0.0232683160326954
chr1 6700001 6750000 -0.00421244327111523
chr1 6750001 6800000 -0.102966568336744
chr1 6800001 6850000 -0.0883167015234
chr1 6850001 6900000 -0.0569162406374162
chr1 6900001 6950000 -0.0272078348711004
chr1 6950001 7000000 -0.0517924280568966
chr1 7000001 7050000 -0.116177100578572
chr1 7050001 7100000 0.00212090374393571
chr1 7100001 7150000 -0.0740626656733369
chr1 7150001 7200000 -0.0519243445301018
chr1 7200001 7250000 -0.0499057424661295
chr1 7250001 7300000 -0.0746420922703493
chr1 7300001 7350000 -0.0580697778360802
chr1 7350001 7400000 -0.0415438479602161
chr1 7400001 7450000 -0.0480985938493531
chr1 7450001 7500000 -0.0457871722591503
chr1 7500001 7550000 -0.0329265051689939
chr1 7550001 7600000 -0.0719652258523763
chr1 7600001 7650000 -0.0584370877492265
chr1 7650001 7700000 -0.0629108485747973
chr1 7700001 7750000 -0.0318060294759443
chr1 7750001 7800000 -0.0619104026774558
chr1 7800001 7850000 0.0197696534527919
chr1 7850001 7900000 -0.0250310576192439
chr1 7900001 7950000 -0.0388936810724299
chr1 7950001 8000000 -0.0331641473399929
chr1 8000001 8050000 -0.0421013764595779
chr1 8050001 8100000 -0.00122031492936044
chr1 8100001 8150000 -0.07890755231927
chr1 8150001 8200000 -0.0472296551419868
chr1 8200001 8250000 -0.0174720098095207
chr1 8250001 8300000 -0.0169151273021928
chr1 8300001 8350000 -0.0282708188030307
chr1 8350001 8400000 -0.0508412833558737
chr1 8400001 8450000 -0.0108438195322396
chr1 8450001 8500000 0.0259919053761841
chr1 8500001 8550000 0.0532401042681768
chr1 8550001 8600000 -0.0347346476284865
chr1 8600001 8650000 0.000675470068760365
chr1 8650001 8700000 0.0303039544925165
chr1 8700001 8750000 0.00163277179349761
chr1 8750001 8800000 -0.0552667994201748
chr1 8800001 8850000 -0.0140488230661771
chr1 8850001 8900000 -0.0567841539867211
chr1 8900001 8950000 -0.0322150874510141
chr1 8950001 9000000 -0.00661634822133984
chr1 9000001 9050000 -0.0706908342354093
chr1 9050001 9100000 -0.0343426925259614
chr1 9100001 9150000 -0.0522266545625823
chr1 9150001 9200000 -0.0782921653112918
chr1 9200001 9250000 -0.0223322525217496
chr1 9250001 9300000 -0.0211693718663731
chr1 9300001 9350000 -0.0513656995716427
chr1 9350001 9400000 -0.0474414340024594
chr1 9400001 9450000 -0.0951229232148968
chr1 9450001 9500000 -0.0295649464246149
chr1 9500001 9550000 0.00394750110933875
chr1 9550001 9600000 -0.104029389572539
chr1 9600001 9650000 0.0187122291119936
chr1 9650001 9700000 -0.105215658984467
chr1 9700001 9750000 -0.03323884733897
chr1 9750001 9800000 -0.0636637812744644
chr1 9800001 9850000 -0.089693705816653
chr1 9850001 9900000 -0.0695549094198128
chr1 9900001 9950000 -0.0663596257932973
chr1 9950001 10000000 -0.0368508811515681
chr1 10000001 10050000 -0.0272158388610927
chr1 10050001 10100000 -0.0735465305346109
chr1 10100001 10150000 -0.0367375351568616
chr1 10150001 10200000 -0.00530927662550504
chr1 10200001 10250000 -0.0267659907720096
chr1 10250001 10300000 -0.034664312402636
chr1 10300001 10350000 -0.0291216921803958
chr1 10350001 10400000 -0.0477007588923707
chr1 10400001 10450000 -0.0417167965957205
chr1 10450001 10500000 -0.0846779214510373
chr1 10500001 10550000 -0.0529868129314258
chr1 10550001 10600000 -0.0230065764463711
chr1 10600001 10650000 -0.033564927622405
chr1 10650001 10700000 -0.0546881418577112
chr1 10700001 10750000 -0.0274062123802647
chr1 10750001 10800000 -0.052708886450368
chr1 10800001 10850000 -0.0229050794546511
chr1 10850001 10900000 -0.0524606148397523
chr1 10900001 10950000 -0.0854209890151034
chr1 10950001 11000000 -0.0622244111771582
chr1 11000001 11050000 -0.1016113029152
chr1 11050001 11100000 -0.0941833668628779
chr1 11100001 11150000 -0.0371384254694657
chr1 11150001 11200000 -0.0326513505717291
chr1 11200001 11250000 -0.0605089639113529
chr1 11250001 11300000 -0.0599792055977643
chr1 11300001 11350000 -0.102164353321789
chr1 11350001 11400000 -0.0912695291687039
chr1 11400001 11450000 -0.0586899520267422
chr1 11450001 11500000 -0.0530011276410844
chr1 11500001 11550000 -0.0558512698817831
chr1 11550001 11600000 -0.0681355926222826
chr1 11600001 11650000 -0.0455427628771984
chr1 11650001 11700000 -0.0501528057965314
chr1 11700001 11750000 -0.0872114761840793
chr1 11750001 11800000 -0.0636632491073357
chr1 11800001 11850000 -0.0457052782402858
chr1 11850001 11900000 -0.0300015264299958
chr1 11900001 11950000 -0.0140196761070201
chr1 11950001 12000000 -0.0388415722012566
chr1 12000001 12050000 -0.078979576825053
chr1 12050001 12100000 0.00272299382119147
chr1 12100001 12150000 -0.0438260004211902
chr1 12150001 12200000 -0.0740727147855422
chr1 12200001 12250000 -0.0298892478400051
chr1 12250001 12300000 -0.0511843748489132
chr1 12300001 12350000 -0.10340904390745
chr1 12350001 12400000 -0.0356490594775576
chr1 12400001 12450000 -0.050445328726354
chr1 12450001 12500000 -0.0301711400311929
chr1 12500001 12550000 0.0173608775193137
chr1 12550001 12600000 -0.0223039666655635
chr1 12600001 12650000 -0.000946764044103674
chr1 12650001 12700000 -0.027678107671989
chr1 12700001 12750000 -0.146929055028563
chr1 12750001 12800000 -0.090144506523398
chr1 12800001 12850000 -0.124121901750062
chr1 12850001 12900000 -0.168228079689239
chr1 12900001 12950000 -0.161365501809502
chr1 12950001 13000000 -0.292928626925905
chr1 13000001 13050000 0.11926170184611
chr1 13050001 13100000 -0.089123046684725
chr1 13100001 13150000 -0.628124302685364
chr1 13150001 13200000 -0.146125944498517
chr1 13200001 13250000 -0.354380405034118
chr1 13300001 13350000 -0.55930504149054
chr1 13350001 13400000 -0.529193395237154
chr1 13450001 13500000 0.174884510269737
chr1 13500001 13550000 -0.222852873780357
chr1 13550001 13600000 0.44069495850946
chr1 13650001 13700000 0
chr1 13700001 13750000 0.0558021002415225
chr1 13750001 13800000 -0.0382732046107699
chr1 13800001 13850000 -0.0970231802555881
chr1 13850001 13900000 -0.0836958696257533
chr1 13900001 13950000 -0.0699625472755438
chr1 13950001 14000000 -0.0753369371195168
chr1 14000001 14050000 -0.0506810718034193
chr1 14050001 14100000 0.000166083521096701
chr1 14100001 14150000 -0.0318581091783135
chr1 14150001 14200000 -0.0295402079463025
chr1 14200001 14250000 -0.0029776397750883
chr1 14250001 14300000 -0.0711228444949235
chr1 14300001 14350000 -0.0405693053636839
chr1 14350001 14400000 -0.0407022783657682
chr1 14400001 14450000 0.0100665278406509
chr1 14450001 14500000 -0.0827395147346481
chr1 14500001 14550000 -0.0180182533078675
chr1 14550001 14600000 -0.0297302601951664
chr1 14600001 14650000 -0.0466813911601274
chr1 14650001 14700000 -0.0297316510223043
chr1 14700001 14750000 -0.0537394685047623
chr1 14750001 14800000 -0.0581337155437133
chr1 14800001 14850000 0.00508306624626724
chr1 14850001 14900000 -0.0425188028468213
chr1 14900001 14950000 -0.0385546271510072
chr1 14950001 15000000 -0.0353405507990437
chr1 15000001 15050000 -0.0150068477518141
chr1 15050001 15100000 -0.0295443713633786
chr1 15100001 15150000 -0.0177374210508623
